"Unnamed: 0","reward","len","score","turns","dlvl","max_hitpoints","max_energy","armor_class","experience_level","experience_points","eating_score","gold_score","scout_score","sokobanfillpit_score","staircase_pet_score","staircase_score","ttyrecname","episode_number","true_objective","maxlvl","role","race","gender","align","death"
"202","1830","18757","1830","14656","1","46","21","3","5","319","12804","12","639","0","12","39","nle.2693399.12.ttyrec3.bz2","12","1830","1","Mon","Hum","Mal","Neu","killed by a kobold while fainted from lack of food"
"203","330","2434","330","1510","1","40","22","3","4","82","1821","2","466","0","4","4","nle.2693392.15.ttyrec3.bz2","15","330","1","Mon","Hum","Mal","Neu","poisoned by a rotted sewer rat corpse"
"204","7270","31805","7270","22548","2","63","38","1","8","1787","22414","166","923","0","0","56","nle.2693395.14.ttyrec3.bz2","14","7270","2","Mon","Hum","Mal","Neu","poisoned by a rotted hill orc corpse"
"205","1609","13227","1609","10088","1","47","27","3","6","396","9350","15","375","0","19","45","nle.2693391.9.ttyrec3.bz2","9","1609","1","Mon","Hum","Mal","Neu","quit"
"206","11970","47982","11970","33387","3","75","48","4","9","2904","33058","702","1577","0","27","142","nle.2693387.10.ttyrec3.bz2","10","11970","3","Mon","Hum","Mal","Neu","poisoned by a rotted glob of gray ooze while helpless"
"207","1637","17376","1637","11703","1","41","42","3","6","403","11607","5","630","0","2","3","nle.2693390.12.ttyrec3.bz2","12","1637","1","Mon","Hum","Mal","Neu","killed by a kitten while frozen by a potion"
"208","5721","26544","5721","18148","1","69","54","0","8","1414","17835","1147","662","0","2","13","nle.2693389.14.ttyrec3.bz2","14","5721","1","Mon","Hum","Mal","Neu","poisoned by a rotted hill orc corpse while helpless"
"209","245","1626","245","929","2","31","13","4","3","41","910","31","958","0","1","2","nle.2693387.11.ttyrec3.bz2","11","245","2","Mon","Hum","Mal","Neu","killed by Ms. Wonotobo; the shopkeeper"
"210","1853","16522","1853","13244","1","40","37","3","6","458","12314","11","619","0","14","95","nle.2693396.9.ttyrec3.bz2","9","1853","1","Mon","Hum","Mal","Neu","poisoned by a rotted jackal corpse"
"211","8604","41410","8604","26871","3","62","49","-2","8","2072","26095","306","1596","0","8","80","nle.2693452.9.ttyrec3.bz2","9","8604","3","Mon","Hum","Mal","Neu","poisoned by a rotted jackal corpse"
"212","226","2092","226","1705","1","27","11","4","3","52","1788","18","581","0","0","0","nle.2693452.10.ttyrec3.bz2","10","226","1","Mon","Hum","Mal","Neu","poisoned by a rotted newt corpse"
"213","3738","22103","3738","14239","1","56","38","1","7","931","13883","14","574","0","1","22","nle.2693393.16.ttyrec3.bz2","16","3738","1","Mon","Hum","Mal","Neu","killed by a wererat"
"214","4226","24598","4226","17895","1","46","43","3","7","1054","17622","38","579","0","2","32","nle.2693388.14.ttyrec3.bz2","14","4226","1","Mon","Hum","Mal","Neu","quit"
